trial_number,adaptor_condition,adaptor_file,adaptor_predicted_rating,test_file,test_predicted_rating,adapt_duration_s,test_duration_s,rating
1,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.88.png,3.88,26.19,0.98,4
2,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.06.png,3.06,25.88,0.95,2
3,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_2.26.png,2.26,25.18,0.81,2
4,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.06.png,3.06,26.45,0.97,2
5,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.06.png,3.06,23.63,0.63,2
6,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_2.26.png,2.26,23.1,0.78,4
7,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.88.png,3.88,23.65,0.61,3
8,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.88.png,3.88,22.69,0.77,5
9,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_2.26.png,2.26,27.37,0.53,2
10,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_2.26.png,2.26,26.76,0.79,4
11,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.88.png,3.88,20.36,0.83,5
12,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.06.png,3.06,27.75,0.64,4
13,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.06.png,3.06,28.53,0.9,4
14,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.06.png,3.06,20.03,0.68,3
15,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.88.png,3.88,28.9,0.84,4
16,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_2.26.png,2.26,23.39,0.74,3
17,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.06.png,3.06,29.15,0.7,3
18,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_2.26.png,2.26,28.12,0.89,4
19,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_2.26.png,2.26,24.11,0.77,2
20,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.88.png,3.88,29.82,0.72,4
21,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_2.26.png,2.26,27.1,0.78,2
22,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_2.26.png,2.26,20.13,0.84,3
23,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.88.png,3.88,23.96,0.66,5
24,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.88.png,3.88,26.5,0.71,3
25,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.06.png,3.06,29.62,0.96,2
26,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.88.png,3.88,29.84,0.91,4
27,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_2.26.png,2.26,22.0,0.87,2
28,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.06.png,3.06,27.59,0.61,4
29,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.88.png,3.88,21.17,0.57,4
30,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.06.png,3.06,22.68,0.64,4
